Tiempo (ms);Ángulo 1
9;59,0289611816406
42;59,9823265075684
75;61,2374534606934
108;63,0049247741699
142;65,3887710571289
175;68,4136657714844
209;72,0561218261719
242;76,2601776123047
275;80,9452514648438
308;86,0063171386719
342;91,3091125488281
375;96,6965484619141
409;102,005065917969
442;107,075996398926
475;111,767578125
508;115,973320007324
542;119,630928039551
575;122,71321105957
608;125,211273193359
642;127,12109375
675;128,437957763672
708;129,157516479492
742;129,278930664063
775;128,804000854492
808;127,73429107666
842;126,071426391602
875;123,818748474121
908;120,983238220215
941;117,581489562988
975;113,647155761719
1008;109,237167358398
1041;104,43822479248
1075;99,3696365356445
1108;94,1736145019531
1141;88,9975433349609
1175;83,9822311401367
1208;79,2546615600586
1241;74,9189910888672
1275;71,0517120361328
1308;67,7033996582031
1341;64,90185546875
1375;62,6587333679199
1408;60,9790191650391
1441;59,8651390075684
1475;59,3177833557129
1508;59,3370094299316
1541;59,923225402832
1575;61,0792121887207
1608;62,8108825683594
1641;65,1248016357422
1675;68,0241394042969
1708;71,5007781982422
1741;75,5246429443359
1775;80,0366592407227
1808;84,9418869018555
1841;90,1067962646484
1874;95,3731536865234
1908;100,580253601074
1941;105,577743530273
1974;110,232803344727
2008;114,441352844238
2041;118,134101867676
2074;121,271308898926
2108;123,834907531738
2141;125,821128845215
2174;127,231384277344
2208;128,065078735352
2241;128,318237304688
2274;127,987060546875
2308;127,071556091309
2341;125,575210571289
2374;123,502922058105
2408;120,862533569336
2441;117,670310974121
2474;113,955169677734
2508;109,762901306152
2541;105,165771484375
2574;100,269340515137
2608;95,2059936523438
2641;90,1219024658203
2674;85,1633682250977
2708;80,4636535644531
2741;76,1325912475586
2774;72,2497787475586
2807;68,8651809692383
2841;66,0063323974609
2874;63,6860084533691
2907;61,9111213684082
2941;60,6885604858398
2974;60,023681640625
3008;59,9195899963379
3041;60,3791732788086
3074;61,4050331115723
3107;63,0007095336914
3141;65,1731567382813
3174;67,9281158447266
3207;71,2561340332031
3241;75,1210403442383
3274;79,4583358764648
3307;84,179069519043
3341;89,17041015625
3374;94,2924499511719
3407;99,3864822387695
3441;104,299423217773
3474;108,904357910156
3507;113,104179382324
3541;116,82592010498
3574;120,017311096191
3607;122,647468566895
3641;124,70475769043
3674;126,188697814941
3707;127,103057861328
3741;127,452941894531
3774;127,24104309082
3807;126,465873718262
3840;125,125663757324
3874;123,222442626953
3907;120,764366149902
3940;117,766654968262
3974;114,252243041992
4007;110,25927734375
4040;105,85375213623
4074;101,133087158203
4107;96,219352722168
4140;91,2497940063477
4174;86,3657608032227
4207;81,6998672485352
4240;77,3639984130859
4274;73,4427261352539
4307;69,9934997558594
4340;67,0522308349609
4374;64,6416015625
4407;62,7752723693848
4440;61,4597015380859
4473;60,6978607177734
4507;60,4913330078125
4540;60,8422737121582
4574;61,7549514770508
4607;63,2332611083984
4640;65,2787780761719
4674;67,8903579711914
4707;71,0587921142578
4740;74,7573318481445
4774;78,9324264526367
4807;83,5000457763672
4840;88,3496780395508
4874;93,3504943847656
4907;98,3565292358398
4940;103,216247558594
4973;107,789909362793
5007;111,967132568359
5040;115,673240661621
5073;118,86450958252
5107;121,519157409668
5140;123,627883911133
5173;125,186958312988
5207;126,194549560547
5240;126,64924621582
5273;126,549728393555
5307;125,894500732422
5340;124,683639526367
5373;122,921318054199
5407;120,614791870117
5440;117,775382995605
5473;114,424179077148
5507;110,599006652832
5540;106,362640380859
5573;101,806587219238
5606;97,043701171875
5640;92,1988830566406
5673;87,4051208496094
5707;82,7954254150391
5740;78,4852066040039
5773;74,5596237182617
5806;71,0765380859375
5840;68,0764846801758
5873;65,588508605957
5906;63,6329040527344
5940;62,222599029541
5973;61,364200592041
6006;61,0605049133301
6040;61,312744140625
6073;62,1211242675781
6106;63,4854202270508
6140;65,4051895141602
6173;67,8782272338867
6206;70,897819519043
6240;74,4441299438477
6273;78,4702072143555
6306;82,8961715698242
6340;87,612434387207
6373;92,4844284057617
6406;97,3639373779297
6440;102,109176635742
6473;106,599311828613
6506;110,735702514648
6540;114,440414428711
6573;117,65828704834
6606;120,356498718262
6639;122,519424438477
6673;124,141296386719
6706;125,221481323242
6739;125,762168884277
6773;125,764625549316
6806;125,22590637207
6839;124,141418457031
